Gene	Predicted function	Role	Species
Glyma.04G085600			Aglycines
Glyma.10G002200			Aglycines
Glyma.04G085500			Aglycines
Glyma.19G187200			Aglycines
Glyma.07G021800			Aglycines
Glyma.11G194500			Aglycines
Glyma.13G326800			Aglycines
Glyma.19G018600			Aglycines
Glyma.01G210200			Aglycines
Glyma.01G238800			Aglycines
Glyma.19G187100			Aglycines
Glyma.08G158600			Aglycines
Glyma.01G214600			Aglycines
Glyma.13G207100			Aglycines
Glyma.07G066700			Aglycines
Glyma.10G162100			Aglycines
Glyma.16G049000			Aglycines
Glyma.10G009800			Aglycines
Glyma.13G348100			Aglycines
Glyma.09G005700			Aglycines
Glyma.13G215000			Aglycines
Glyma.06G290000			Aglycines
Glyma.14G098200			Aglycines
Glyma.05G146300			Aglycines
Glyma.06G269500			Aglycines
Glyma.10G262700			Aglycines
Glyma.13G338600			Aglycines
Glyma.12G093300			Aglycines
Glyma.12G055400			Aglycines
Glyma.13G212800			Aglycines
Glyma.09G003900			Aglycines
Glyma.05G139800			Aglycines
Glyma.10G208800			Aglycines
Glyma.08G156500			Aglycines
Glyma.13G221300			Aglycines
Glyma.20G142800			Aglycines
Glyma.01G025600			Aglycines
Glyma.19G191200			Aglycines
Glyma.20G144700			Aglycines
Glyma.13G341500			Aglycines
Glyma.16G053800			Aglycines
Glyma.16G128600			Aglycines
Glyma.16G130900			Aglycines
Glyma.07G178600			Aglycines
Glyma.13G331300			Aglycines
Glyma.07G049600			Aglycines
Glyma.13G227500			Aglycines
Glyma.04G054100			Aglycines
Glyma.04G057100			Aglycines
Glyma.09G031800			Aglycines
Glyma.12G194000			Aglycines
Glyma.10G187300			Aglycines
Glyma.11G180200			Aglycines
Glyma.18G207900			Aglycines
Glyma.02G061100			Aglycines
Glyma.07G034400			Aglycines
Glyma.17G068200			Aglycines
Glyma.04G064100			Aglycines
Glyma.12G059900			Aglycines
Glyma.10G191200			Aglycines
Glyma.07G198500			Aglycines
Glyma.16G050900			Aglycines
Glyma.01G226700			Aglycines
Glyma.17G068100			Aglycines
Glyma.07G023500			Aglycines
Glyma.04G056000			Aglycines
Glyma.13G235900			Aglycines
Glyma.06G269600			Aglycines
Glyma.19G223600			Aglycines
Glyma.13G145200			Aglycines
Glyma.07G181800			Aglycines
Glyma.10G284600			Aglycines
Glyma.02G073000			Aglycines
Glyma.13G167200			Aglycines
Glyma.20G143900			Aglycines
Glyma.08G175900			Aglycines
Glyma.04G089800			Aglycines
Glyma.05G160300			Aglycines
Glyma.12G059600			Aglycines
Glyma.07G198700			Aglycines
Glyma.12G214800			Aglycines
Glyma.12G064100			Aglycines
Glyma.10G230600			Aglycines
Glyma.17G067700			Aglycines
Glyma.19G200700			Aglycines
Glyma.07G022000			Aglycines
Glyma.07G033100			Aglycines
Glyma.05G152400			Aglycines
Glyma.04G076900			Aglycines
Glyma.05G135900			Aglycines
Glyma.08G185800			Aglycines
Glyma.13G177900			Aglycines
Glyma.08G288400			Aglycines
Glyma.19G192600			Aglycines
Glyma.12G092300			Aglycines
Glyma.16G057700			Aglycines
Glyma.07G022700			Aglycines
Glyma.10G151800			Aglycines
Glyma.13G167400			Aglycines
Glyma.17G072300			Aglycines
Glyma.17G094700			Aglycines
Glyma.07G036400			Aglycines
Glyma.17G092900			Aglycines
Glyma.07G018300			Aglycines
Glyma.08G283700			Aglycines
Glyma.17G095000			Aglycines
Glyma.19G232300			Aglycines
Glyma.05G166300			Aglycines
Glyma.01G035700			Aglycines
Glyma.13G356200			Aglycines
Glyma.11G194600			Aglycines
Glyma.13G232500			Aglycines
Glyma.07G102100			Aglycines
Glyma.19G198300			Aglycines
Glyma.07G006600			Aglycines
Glyma.13G349100			Aglycines
Glyma.12G078100			Aglycines
Glyma.06G277600			Aglycines
Glyma.11G189600			Aglycines
Glyma.10G291200			Aglycines
Glyma.17G071000			Aglycines
Glyma.20G116100			Aglycines
Glyma.20G104700			Aglycines
Glyma.10G024400			Aglycines
Glyma.13G343200			Aglycines
Glyma.05G154700			Aglycines
Glyma.07G002100			Aglycines
Glyma.14G177200			Aglycines
Glyma.10G138600			Aglycines
Glyma.19G001100			Aglycines
Glyma.09G038600			Aglycines
Glyma.17G094300			Aglycines
Glyma.05G148600			Aglycines
Glyma.13G230600			Aglycines
Glyma.01G213300			Aglycines
Glyma.13G144800			Aglycines
Glyma.05G144300			Aglycines
Glyma.12G204400			Aglycines
Glyma.10G194300			Aglycines
Glyma.07G100500			Aglycines
Glyma.08G297200			Aglycines
Glyma.12G217500			Aglycines
Glyma.02G039700			Aglycines
Glyma.12G223400			Aglycines
Glyma.13G216800			Aglycines
Glyma.04G072300			Aglycines
Glyma.13G352500			Aglycines
Glyma.08G285100			Aglycines
Glyma.09G024700			Aglycines
Glyma.09G040200			Aglycines
Glyma.11G195900			Aglycines
Glyma.07G114900			Aglycines
Glyma.04G087000			Aglycines
Glyma.13G224900			Aglycines
Glyma.07G117400			Aglycines
Glyma.17G091000			Aglycines
Glyma.01G025100			Aglycines
Glyma.10G155400			Aglycines
Glyma.08G160700			Aglycines
Glyma.07G056600			Aglycines
Glyma.08G238300			Aglycines
Glyma.13G227000			Aglycines
Glyma.13G236100			Aglycines
Glyma.07G049100			Aglycines
Glyma.19G012900			Aglycines
Glyma.12G226100			Aglycines
Glyma.10G139500			Aglycines
Glyma.01G227400			Aglycines
Glyma.04G088800			Aglycines
Glyma.07G075800			Aglycines
Glyma.17G069600			Aglycines
Glyma.05G194700			Slitura
Glyma.07G036400			Slitura
Glyma.06G195300			Slitura
Glyma.07G034400			Slitura
Glyma.06G175400			Slitura
Glyma.07G033100			Slitura
Glyma.12G059900			Slitura
