Accession	Score	Potential	Species
PI468399A	57	0.5816326530612245	Aglycines
PI532451	57	0.5816326530612245	Aglycines
PI468916	56	0.5714285714285714	Aglycines
PI468918	56	0.5714285714285714	Aglycines
PI479750	56	0.5714285714285714	Aglycines
PI479752	56	0.5714285714285714	Aglycines
PI468400B	55	0.5612244897959183	Aglycines
PI468399B	54	0.5510204081632653	Aglycines
PI507793	54	0.5510204081632653	Aglycines
PI479749	54	0.5510204081632653	Aglycines
PI556949	66	0.673469387755102	Hglycines
PI84751	66	0.673469387755102	Hglycines
Peking	66	0.673469387755102	Hglycines
PI438497	66	0.673469387755102	Hglycines
PI548402	66	0.673469387755102	Hglycines
PI438342	64	0.6530612244897959	Hglycines
PI549047	64	0.6530612244897959	Hglycines
PI597461C	64	0.6530612244897959	Hglycines
PI404166	64	0.6530612244897959	Hglycines
PI437679	64	0.6530612244897959	Hglycines
