gene	score	species
Glyma.04G085600	0.38014304002047883	A. glycines
Glyma.10G002200	0.38014304002047883	A. glycines
Glyma.04G085500	0.3723299914080484	A. glycines
Glyma.19G187200	0.3723299914080484	A. glycines
Glyma.07G021800	0.36193844409304954	A. glycines
Glyma.11G194500	0.36193844409304954	A. glycines
Glyma.13G326800	0.36193844409304954	A. glycines
Glyma.19G018600	0.36193844409304954	A. glycines
Glyma.01G210200	0.360573142736725	A. glycines
Glyma.01G238800	0.360573142736725	A. glycines
Glyma.12G059900	-0.9763935037163467	S. litura
Glyma.05G194700	0.9732547214083435	S. litura
Glyma.07G036400	0.9680425903992596	S. litura
Glyma.07G033100	-0.9661230976985793	S. litura
Glyma.06G195300	0.9651599230334346	S. litura
Glyma.07G034400	0.9580749413423479	S. litura
Glyma.06G175400	-0.9552800221843427	S. litura
