Gene	description_type	description	species
Glyma.01G025100	description	PTHR36321:SF1 - CLASSICAL ARABINOGALACTAN PROTEIN 10-RELATED	Aglycines
Glyma.01G025600	description	PTHR23155:SF516 - PLANT INTRACELLULAR RAS-GROUP-RELATED LRR PROTEIN 1-RELATED	Aglycines
Glyma.01G210200	description	PTHR10969//PTHR10969:SF40 - MICROTUBULE-ASSOCIATED PROTEINS 1A/1B LIGHT CHAIN 3-RELATED // SUBFAMILY NOT NAMED	Aglycines
Glyma.01G213300	description	PF10693 - Protein of unknown function (DUF2499) (DUF2499)	Aglycines
Glyma.01G214600	description	PTHR31750//PTHR31750:SF4 - FAMILY NOT NAMED // PROTEIN STAY-GREEN 1, CHLOROPLASTIC-RELATED	Aglycines
Glyma.01G226700	description	K03404 - magnesium chelatase subunit D (chlD, bchD)	Aglycines
Glyma.01G227400	description	PTHR11557:SF0 - PORPHOBILINOGEN DEAMINASE	Aglycines
Glyma.01G238800	description	PTHR23500:SF70 - SUGAR TRANSPORT PROTEIN 13	Aglycines
Glyma.02G061100	description	K02716 - photosystem II oxygen-evolving enhancer protein 1 (psbO)	Aglycines
Glyma.02G073000	description	PTHR21087//PTHR21087:SF4 - SHIKIMATE KINASE // INACTIVE SHIKIMATE KINASE LIKE 1, CHLOROPLASTIC-RELATED	Aglycines
Glyma.04G054100	description	PTHR10108//PTHR10108:SF791 - METHYLTRANSFERASE // (S)-COCLAURINE-N-METHYLTRANSFERASE-RELATED	Aglycines
Glyma.04G056000	description	K02221 - YggT family protein (yggT)	Aglycines
Glyma.04G057100	description	PF07911 - Protein of unknown function (DUF1677) (DUF1677)	Aglycines
Glyma.04G064100	description	PTHR11850:SF122 - HOMEOBOX PROTEIN KNOTTED-1-LIKE 3-RELATED	Aglycines
Glyma.04G072300	description	PTHR31407//PTHR31407:SF7 - FAMILY NOT NAMED // PSBP DOMAIN-CONTAINING PROTEIN 5, CHLOROPLASTIC	Aglycines
Glyma.04G076900	description	PTHR13871//PTHR13871:SF38 - THIOREDOXIN // PROTEIN C32D5.8, ISOFORM B-RELATED	Aglycines
Glyma.04G085500	description	PTHR11614:SF96 - ALPHA/BETA FOLD HYDROLASE FAMILY PROTEIN	Aglycines
Glyma.04G088800	description	PF00069//PF07714//PF08263 - Protein kinase domain (Pkinase) // Protein tyrosine kinase (Pkinase_Tyr) // Leucine rich repeat N-terminal domain (LRRNT_2)	Aglycines
Glyma.04G089800	description	1.2.1.70 - Glutamyl-tRNA reductase	Aglycines
Glyma.05G135900	description	PTHR31142//PTHR31142:SF3 - FAMILY NOT NAMED // PROTEIN TOM THREE HOMOLOG 1-RELATED	Aglycines
Glyma.05G139800	description	PF10716 - NADH dehydrogenase transmembrane subunit (NdhL)	Aglycines
Glyma.05G144300	description	PTHR15315:SF35 - F21J9.10	Aglycines
Glyma.05G146300	description	PTHR22849:SF8 - U-BOX DOMAIN-CONTAINING PROTEIN 45-RELATED	Aglycines
Glyma.05G154700	description	PF04398 - Protein of unknown function, DUF538 (DUF538)	Aglycines
Glyma.05G166300	description	PTHR10903//PTHR10903:SF39 - GTPASE, IMAP FAMILY MEMBER-RELATED // TRANSLOCASE OF CHLOROPLAST 159, CHLOROPLASTIC	Aglycines
Glyma.06G269500	description	PTHR10388//PTHR10388:SF18 - EUKARYOTIC TRANSLATION INITIATION FACTOR SUI1 // PROTEIN TRANSLATION FACTOR SUI1 HOMOLOG 1-RELATED	Aglycines
Glyma.06G269600	description	PTHR10388//PTHR10388:SF18 - EUKARYOTIC TRANSLATION INITIATION FACTOR SUI1 // PROTEIN TRANSLATION FACTOR SUI1 HOMOLOG 1-RELATED	Aglycines
Glyma.06G277600	description	K02116 - ATP synthase protein I (atpI)	Aglycines
Glyma.06G290000	description	PF00847 - AP2 domain (AP2)	Aglycines
Glyma.07G002100	description	PF04755 - PAP_fibrillin (PAP_fibrillin)	Aglycines
